_id,YEAR,CATEGORY,TYPE,COUNT_
247,2019,Languages,Chinese,2682
248,2019,Languages,Croatian,5
249,2019,Languages,Farsi,278
250,2019,Languages,French,337
251,2019,Languages,German,2
252,2019,Languages,Greek,28
253,2019,Languages,Hindi,52
254,2019,Languages,Hungarian,204
255,2019,Languages,Italian,158
256,2019,Languages,Japanese,51
257,2019,Languages,Korean,232
258,2019,Languages,Polish,92
259,2019,Languages,Portuguese,234
260,2019,Languages,Punjabi,218
261,2019,Languages,Russian,238
262,2019,Languages,Somali,71
263,2019,Languages,Spanish ,756
264,2019,Languages,Tamil,265
265,2019,Languages,Turkish,50
266,2019,Languages,Urdu,55
267,2019,Languages,Vietnamese,179
268,2019,Alarm Calls,Valid Alarms,775
269,2019,Alarm Calls,False Alarms,5978
